01/04/2016 07:59:30 AM	Trend	1451923170
Time	HR	ST1	ST2	ST3	Imped.	P1sys	P1dia	P1mean	PR(P1)	P2sys	P2dia	P2mean	PR(P2)	P3sys	P3dia	P3mean	PR(P3)	P4sys	P4dia	P4mean	PR(P4)	NIBPsys	NIBPdia	NIBPmean	PR(NIBP)	T1	T2	T3	T4	SpO2	PR(SpO2)	SpO2_ir	SVO2p	EtCO2	FiCO2	RR(CO2)	Pamb	FeO2	FiO2	FeN2O	FiN2O	FeAA	FiAA	MAC	RR(Spiro)	Ppeak	PEEP	Pplat	TVinsp	TVexp	Compl	MVexp	C.O.	Tblood	RVEF	PCWP	T1%	TOF%	PTC	HR(ECG)	HRmax	HRmin	SvO2	P5sys	P5dia	P5mean	PR(P5)	P6sys	P6dia	P6mean	PR(P6)	Marker	
07:59:34	136.0	0.9	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	99.0	136.0	-327.68	-327.68	0.0	0.0	0.0	759.8	80.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	2.0	1.0	-327.68	-3276.8	-3276.8	-327.68	0.0	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	131.0	135.0	131.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
07:59:44	130.0	0.9	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	97.0	130.0	-327.68	-327.68	0.0	0.0	0.0	759.8	79.0	79.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	2.0	1.0	-327.68	30.0	8.0	-327.68	0.0	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	130.0	133.0	128.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
07:59:54	125.0	1.0	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	99.0	128.0	-327.68	-327.68	5.0	0.0	31.0	759.8	59.0	79.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	2.0	1.0	-327.68	32.0	28.0	-327.68	0.1	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	125.0	128.0	122.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:00:04	120.0	1.0	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	116.0	-327.68	-327.68	3.03	0.0	29.0	759.8	70.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	2.0	1.0	-327.68	51.0	36.0	-327.68	0.2	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	120.0	118.0	116.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:00:14	114.0	1.4	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	110.0	-327.68	-327.68	4.08	0.13	28.0	759.8	68.0	79.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	2.0	1.0	-327.68	55.0	37.0	-327.68	0.2	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	114.0	114.0	109.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:00:24	111.0	1.2	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	111.0	-327.68	-327.68	4.74	0.13	28.0	759.8	69.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	2.0	1.0	-327.68	47.0	38.0	-327.68	0.3	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	111.0	112.0	105.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:00:34	108.0	1.3	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	108.0	-327.68	-327.68	5.26	0.13	27.0	759.8	70.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	2.0	1.0	-327.68	53.0	48.0	-327.68	0.3	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	108.0	109.0	106.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:00:44	104.0	1.2	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	104.0	-327.68	-327.68	4.87	0.13	26.0	759.8	70.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	2.0	1.0	-327.68	32.0	24.0	-327.68	0.7	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	104.0	104.0	102.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:00:54	104.0	1.2	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	105.0	-327.68	-327.68	5.26	0.13	24.0	759.8	70.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	2.0	1.0	-327.68	39.0	33.0	-327.68	0.6	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	104.0	107.0	103.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:01:04	105.0	1.0	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	107.0	-327.68	-327.68	5.53	0.13	23.0	759.8	70.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	2.0	1.0	-327.68	25.0	9.0	-327.68	0.6	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	105.0	106.0	105.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
